,transaction_id,date,client_id_x,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,date_only,target,current_age,retirement_age,birth_year,birth_month,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,gender_encoded,client_id_y,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,mcc_description
0,19765990,2017-07-07 09:53:00,1581,2519,12.35,Chip Transaction,20519,Arnold,MO,63010.0,5942,,2017-07-07,0,38,65,1981,11,9324 Catherine Street,38.42,-90.36,21744.0,44334.0,55173.0,684,5,1,1581,Visa,Debit,4564719638698318,2020-12-01,446,1,1,26596.0,2006-04-01,2015,Book Stores
1,22160255,2018-11-26 17:44:00,1862,4049,58.29,Chip Transaction,98648,Des Moines,IA,50313.0,5814,,2018-11-26,0,25,65,1994,4,7111 Lexington Avenue,41.57,-93.61,18568.0,37864.0,57052.0,686,1,1,1862,Visa,Credit,4495571717001479,2023-09-01,778,1,2,10200.0,2016-07-01,2016,Fast Food Restaurants
2,17566794,2016-03-26 12:42:00,1967,3367,11.03,Chip Transaction,46978,Lake Forest,CA,92630.0,5411,,2016-03-26,0,55,74,1964,9,3570 North Boulevard,33.64,-117.67,30307.0,61793.0,686.0,767,4,0,1967,Visa,Debit,4738213924782743,2020-09-01,383,1,2,38120.0,2007-06-01,2011,"Grocery Stores, Supermarkets"
3,17318690,2016-02-01 08:30:00,921,3457,85.74,Chip Transaction,63701,Rush,NY,14543.0,5411,,2016-02-01,0,74,66,1945,5,960 Mill Lane,42.98,-77.67,26072.0,54013.0,3628.0,779,8,0,921,Visa,Debit,4319734914723878,2020-05-01,720,1,1,35073.0,2009-06-01,2009,"Grocery Stores, Supermarkets"
4,20994060,2018-03-24 14:42:00,456,2800,13.43,Chip Transaction,83271,Estero,FL,33928.0,4214,,2018-03-24,0,54,63,1965,10,600 Grant Lane,26.63,-81.99,17140.0,34947.0,49024.0,751,3,0,456,Visa,Credit,4751933848032848,2024-12-01,614,1,1,5800.0,1998-05-01,2009,Motor Freight Carriers and Trucking
5,20501200,2017-12-09 22:26:00,0,4639,53.12,Chip Transaction,14040,Morgan,VT,5853.0,5813,,2017-12-09,0,33,69,1986,3,858 Plum Avenue,43.59,-70.33,29237.0,59613.0,36199.0,763,4,0,0,Mastercard,Credit,5802759460691737,2019-12-01,312,1,1,17600.0,2007-09-01,2014,Drinking Places (Alcoholic Beverages)
6,18454176,2016-10-01 21:40:00,408,4960,52.86,Chip Transaction,75781,Cable,WI,54821.0,5411,,2016-10-01,0,58,62,1961,4,690 Hill Lane,45.4,-91.84,15371.0,31343.0,49537.0,741,3,1,408,Visa,Credit,4749273777651489,2022-03-01,809,1,2,6900.0,2001-10-01,2011,"Grocery Stores, Supermarkets"
7,21998064,2018-10-23 12:50:00,1432,4929,35.33,Swipe Transaction,59292,Lake Hopatcong,NJ,7849.0,5813,,2018-10-23,0,42,72,1977,8,78 Lexington Street,40.96,-74.61,34205.0,69747.0,80763.0,741,4,0,1432,Visa,Credit,4628195999996989,2023-07-01,543,1,1,19400.0,1996-10-01,2012,Drinking Places (Alcoholic Beverages)
8,18977227,2017-01-21 09:30:00,177,2681,188.77,Chip Transaction,86616,Memphis,TN,38104.0,4814,,2017-01-21,0,54,66,1965,12,294 Bayview Lane,35.1,-90.0,28570.0,58248.0,107130.0,728,4,1,177,Mastercard,Credit,5237138657431099,2023-09-01,589,1,1,11900.0,2011-04-01,2011,Telecommunication Services
9,17244867,2016-01-16 13:40:00,1895,1090,27.4,Chip Transaction,68436,Barnegat,NJ,8005.0,4121,,2016-01-16,0,56,65,1963,3,900 Littlewood Street,39.75,-74.22,20034.0,40848.0,146608.0,706,2,1,1895,Mastercard,Debit,5343513913226549,2023-09-01,514,1,1,13922.0,2006-02-01,2012,Taxicabs and Limousines
10,17266754,2016-01-21 06:30:00,846,3443,4.43,Chip Transaction,18511,Omaha,NE,68136.0,7542,,2016-01-21,0,48,66,1971,11,58 Catherine Drive,41.26,-96.01,33232.0,67761.0,0.0,745,4,1,846,Visa,Credit,4518067619451768,2020-06-01,429,1,2,0.0,2009-06-01,2011,Car Washes
11,20085114,2017-09-12 20:08:00,1904,1004,54.0,Chip Transaction,59935,Mcalester,OK,74501.0,5499,,2017-09-12,0,69,70,1951,2,5844 Littlewood Street,35.95,-95.38,15195.0,30983.0,10019.0,757,5,0,1904,Mastercard,Debit,5660745375245497,2022-07-01,27,1,1,7597.0,2002-02-01,2005,Miscellaneous Food Stores
12,20446347,2017-11-28 11:58:00,696,39,100.41,Chip Transaction,66278,Cabo San Lucas,Mexico,,5310,,2017-11-28,0,74,67,1945,7,5064 North Lane,40.63,-73.72,45685.0,110570.0,5700.0,766,8,1,696,Mastercard,Debit,5562768142811109,2024-10-01,267,1,2,21225.0,2003-01-01,2012,Discount Stores
13,20741827,2018-01-29 22:37:00,1439,6094,31.98,Chip Transaction,21072,Mosheim,TN,37818.0,5912,,2018-01-29,0,28,65,1991,11,5663 Martin Luther King Boulevard,36.19,-82.95,14406.0,29371.0,32300.0,715,2,1,1439,Visa,Debit,4419147752018938,2022-11-01,287,1,1,18945.0,2013-12-01,2013,Drug Stores and Pharmacies
14,19788807,2017-07-12 08:07:00,762,1080,63.54,Online Transaction,39021,ONLINE,,,4784,,2017-07-12,0,49,59,1970,9,813 Fifth Boulevard,40.63,-82.96,18293.0,37298.0,52134.0,683,1,0,762,Mastercard,Debit,5899151162296319,2020-11-01,920,1,1,13569.0,2006-02-01,2007,Tolls and Bridge Fees
15,17292719,2016-01-26 15:30:00,1358,3426,26.96,Online Transaction,9932,ONLINE,,,5311,,2016-01-26,0,69,70,1950,4,128 Main Street,43.1,-89.5,33808.0,68930.0,72619.0,768,4,1,1358,Mastercard,Debit (Prepaid),5722130479224541,2020-05-01,447,1,1,80.0,2009-06-01,2012,Department Stores
